Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsSinceLastPromotion
41,Yes,Travel_Rarely,Sales,1,College,Life Sciences,1,Medium,Female,High,2,Sales Executive,Very High,Single,5993,Excellent,Low,8,Bad,0
49,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,2,High,Male,Medium,2,Research Scientist,Medium,Married,5130,Outstanding,Very High,10,Better,1
37,Yes,Travel_Rarely,Research & Development,2,College,Other,4,Very High,Male,Medium,1,Laboratory Technician,High,Single,2090,Excellent,Medium,7,Better,0
33,No,Travel_Frequently,Research & Development,3,Master,Life Sciences,5,Very High,Female,High,1,Research Scientist,High,Married,2909,Excellent,High,8,Better,3
27,No,Travel_Rarely,Research & Development,2,Below College,Medical,7,Low,Male,High,1,Laboratory Technician,Medium,Married,3468,Excellent,Very High,6,Better,2
32,No,Travel_Frequently,Research & Development,2,College,Life Sciences,8,Very High,Male,High,1,Laboratory Technician,Very High,Single,3068,Excellent,High,8,Good,3
59,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,10,High,Female,Very High,1,Laboratory Technician,Low,Married,2670,Outstanding,Low,12,Good,0
30,No,Travel_Rarely,Research & Development,24,Below College,Life Sciences,11,Very High,Male,High,1,Laboratory Technician,High,Divorced,2693,Outstanding,Medium,1,Better,0
38,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,12,Very High,Male,Medium,3,Manufacturing Director,High,Single,9526,Outstanding,Medium,10,Better,1
36,No,Travel_Rarely,Research & Development,27,Bachelor,Medical,13,High,Male,High,2,Healthcare Representative,High,Married,5237,Excellent,Medium,17,Good,7
35,No,Travel_Rarely,Research & Development,16,Bachelor,Medical,14,Low,Male,Very High,1,Laboratory Technician,Medium,Married,2426,Excellent,High,6,Better,0
29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,15,Very High,Female,Medium,2,Laboratory Technician,High,Single,4193,Excellent,Very High,10,Better,0
31,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,16,Low,Male,High,1,Research Scientist,High,Divorced,2911,Excellent,Very High,5,Good,4
34,No,Travel_Rarely,Research & Development,19,College,Medical,18,Medium,Male,High,1,Laboratory Technician,Very High,Divorced,2661,Excellent,High,3,Better,1
